c1,c2,c3,place,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Families in the group (Number),Total,"Families, total",All Denmark,2882246,2913147,2943524,2973031,2995484,3014327,3042302,3066273,3087026,3118634
Families in the group (Number),Total,"Families, total",Copenhagen,343970,349454,354843,360914,366895,371417,377095,381659,384503,388467
Families in the group (Number),Total,"Families, total",Frederiksberg,60036,60418,60653,60256,59846,59789,59842,60114,60472,60701
Families in the group (Number),Total,"Families, total",Dragør,6464,6501,6583,6628,6638,6746,6776,6791,6722,6742
Families in the group (Number),Total,"Families, total",Tårnby,20869,21050,21193,21261,21241,21235,21137,21191,21230,21660
Families in the group (Number),Total,"Families, total",Albertslund,13811,13924,13976,14007,14073,14148,14011,14022,13973,14024
Families in the group (Number),Total,"Families, total",Ballerup,24252,24151,24098,24232,24344,24503,25001,24912,25295,26063
Families in the group (Number),Total,"Families, total",Brøndby,17798,18006,18153,18227,18092,18059,18165,18385,19021,19845
Families in the group (Number),Total,"Families, total",Gentofte,36598,36836,37035,37376,36993,36875,37038,36723,36734,37130
Families in the group (Number),Total,"Families, total",Gladsaxe,33910,34224,34677,35249,35333,34998,35050,35058,35244,35584
Families in the group (Number),Total,"Families, total",Glostrup,11760,11860,11840,11895,11883,12161,12355,12393,12423,12447
Families in the group (Number),Total,"Families, total",Herlev,14094,14202,14250,14314,14429,14546,14622,14620,14755,15117
Families in the group (Number),Total,"Families, total",Hvidovre,26425,26639,26813,26899,26909,26919,27032,26835,26786,27011
Families in the group (Number),Total,"Families, total",Høje-Taastrup,23853,24332,24622,24889,25086,25082,25844,26412,27520,28652
Families in the group (Number),Total,"Families, total",Ishøj,10604,10787,11026,11255,11288,11393,11567,11649,11775,11814
Families in the group (Number),Total,"Families, total",Lyngby-Taarbæk,27959,28062,28152,28384,28514,28463,28808,29356,29563,29654
Families in the group (Number),Total,"Families, total",Rødovre,19699,19745,19933,20348,20674,20917,21164,21276,21733,22663
Families in the group (Number),Total,"Families, total",Vallensbæk,6847,6956,7076,7378,7602,7632,7579,7527,7769,8113
Families in the group (Number),Total,"Families, total",Allerød,10577,10704,10887,11136,11301,11370,11501,11489,11514,11562
Families in the group (Number),Total,"Families, total",Egedal,18268,18477,18794,18988,19270,19325,19584,19890,20277,20572
Families in the group (Number),Total,"Families, total",Fredensborg,18841,19165,19448,19614,19656,19788,19928,20126,20243,20520
Families in the group (Number),Total,"Families, total",Frederikssund,21684,21894,22232,22475,22617,22809,23104,23367,23450,23822
Families in the group (Number),Total,"Families, total",Furesø,17726,18278,18578,18769,18940,18889,18994,19132,19297,19579
Families in the group (Number),Total,"Families, total",Gribskov,20396,20620,20842,21020,21146,21177,21247,21430,21659,21914
Families in the group (Number),Total,"Families, total",Halsnæs,15824,16092,16216,16304,16396,16597,16669,16722,16767,16841
Families in the group (Number),Total,"Families, total",Helsingør,31494,31819,32125,32400,32489,32600,32847,32836,33144,33510
Families in the group (Number),Total,"Families, total",Hillerød,23332,23655,23925,24414,24738,24888,25263,26273,26665,26949
Families in the group (Number),Total,"Families, total",Hørsholm,12133,12167,12278,12300,12336,12272,12289,12226,12224,12365
Families in the group (Number),Total,"Families, total",Rudersdal,26046,26269,26566,26598,26794,26900,27073,27065,26971,27092
Families in the group (Number),Total,"Families, total",Bornholm,21377,21501,21594,21602,21675,21696,21892,21918,21812,21814
Families in the group (Number),Total,"Families, total",Greve,22610,22947,23254,23424,23700,23922,24076,24149,24417,24831
Families in the group (Number),Total,"Families, total",Køge,28603,29041,29320,29652,29865,30103,30669,30962,31219,31645
Families in the group (Number),Total,"Families, total",Lejre,12390,12506,12586,12695,12865,13045,13180,13409,13448,13857
Families in the group (Number),Total,"Families, total",Roskilde,42294,42982,43368,43700,43736,43995,44620,44869,45179,45639
Families in the group (Number),Total,"Families, total",Solrød,9636,9721,9951,10118,10383,10492,10629,10749,10947,11183
